JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
2040,1,1,11.03.2023,HOMEPAGE,Click,26
3077,1,1,18.03.2024,HOMEPAGE,View,66
3388,1,1,28.06.2024,HOMEPAGE,Click,18
577,1,1,17.12.2025,HOMEPAGE,Click,115
3312,1,2,03.03.2023,PRODUCTPAGE,View,40
3696,1,2,10.02.2024,PRODUCTPAGE,View,231
2124,1,3,23.09.2023,PRODUCTPAGE,View,161
1548,1,3,06.11.2024,HOMEPAGE,View,238
2696,1,3,09.07.2025,PRODUCTPAGE,View,110
3344,1,5,20.07.2023,CHECKOUT,Drop-off,187.6
2490,1,6,19.02.2023,PRODUCTPAGE,View,196
1929,1,6,25.06.2025,CHECKOUT,Drop-off,185.4
55,1,7,17.03.2024,CHECKOUT,Drop-off,226
2271,1,7,17.09.2025,CHECKOUT,Drop-off,209
2187,1,9,23.10.2024,CHECKOUT,Purchase,10
1451,1,9,25.01.2025,CHECKOUT,Drop-off,144
2473,1,10,12.02.2023,CHECKOUT,Purchase,271
1649,1,10,21.06.2023,CHECKOUT,Drop-off,74.75
380,1,11,29.05.2023,CHECKOUT,Drop-off,198
2265,1,11,01.09.2024,HOMEPAGE,View,15
3803,1,11,10.08.2025,PRODUCTPAGE,View,283
685,1,12,11.07.2023,HOMEPAGE,View,22
1904,1,14,15.11.2025,HOMEPAGE,View,110
3174,1,15,01.05.2023,HOMEPAGE,View,239
2556,1,15,15.06.2024,PRODUCTPAGE,View,125
2103,1,17,29.01.2024,HOMEPAGE,Click,211
3666,1,17,07.03.2024,HOMEPAGE,Click,233
1836,1,17,21.02.2025,HOMEPAGE,View,289
2024,1,18,09.09.2025,PRODUCTPAGE,View,114
762,1,19,07.06.2024,CHECKOUT,Drop-off,46
2072,1,20,29.05.2023,CHECKOUT,Drop-off,198
816,1,20,17.12.2023,HOMEPAGE,Click,71
2547,1,20,10.01.2024,PRODUCTPAGE,Click,70
561,1,20,04.07.2025,HOMEPAGE,Click,225
28,1,20,26.09.2025,PRODUCTPAGE,View,64
2961,2,1,07.03.2024,CHECKOUT,Drop-off,147.666666666667
1960,2,2,24.09.2023,HOMEPAGE,Click,101
87,2,2,25.09.2023,HOMEPAGE,View,277
381,2,3,23.03.2024,PRODUCTPAGE,View,187
1291,2,3,09.07.2025,PRODUCTPAGE,View,88
2560,2,3,25.10.2025,CHECKOUT,Drop-off,244
1965,2,3,22.11.2025,HOMEPAGE,View,73
33,2,5,10.08.2025,HOMEPAGE,View,26
2745,2,7,26.02.2024,HOMEPAGE,Click,203
1527,2,7,24.10.2024,HOMEPAGE,View,22
440,2,7,12.10.2025,PRODUCTPAGE,View,187
1840,2,8,16.03.2023,HOMEPAGE,View,195
331,2,8,07.05.2025,PRODUCTPAGE,View,128
585,2,9,12.01.2023,HOMEPAGE,View,250
1747,2,9,08.02.2023,HOMEPAGE,Click,288
3684,2,9,31.08.2024,HOMEPAGE,Click,217
